step,t_min,soc_true,p_batt_true,soc_reported,p_batt_reported,p_load_true,p_load_est,p_grid_true,p_grid_meas,meter_dropout,r1,r2,p_batt_hat,alarm_s1_threshold,alarm_s1_cusum,alarm_s1_ewma,alarm_s2_threshold,alarm_s2_cusum,alarm_s2_ewma,alarm_fuse,attack_active,attack_kind
0,0.0,0.4994736842105263,0.3,0.4986477339845777,0.3048501140223921,0.8,0.8258761720025385,0.5,0.4952818146993521,False,0.0,0.025744243280794277,0.33059435730318637,False,False,False,False,False,False,False,False,A4_coordinated
1,1.0,0.4989473684210526,0.3,0.49961332325427915,0.3037898406857159,0.800654496392712,0.8468990679837372,0.500654496392712,0.443788347970243,False,0.0014985539024834301,0.09932087932777822,0.40311072001349413,False,False,False,False,False,False,False,False,A4_coordinated
2,2.0,0.4984210526315789,0.3,0.4980955401550119,0.31979942456555294,0.8013089803247562,0.9076911866024788,0.5013089803247561,0.4196775468977557,False,-0.0009567314772224262,0.16821421513917018,0.4880136397047231,False,False,False,False,False,False,False,False,A4_coordinated
3,3.0,0.49789473684210517,0.3,0.49721375668068185,0.2792481387288676,0.8019634393357017,0.8826762836356724,0.5019634393357018,0.5169225377654062,False,-0.00039187445901624175,0.0865056071413986,0.3657537458702662,False,False,False,False,False,False,False,False,A4_coordinated
4,4.0,0.49736842105263146,0.3,0.500190827696454,0.27073181568611854,0.8026178609655926,0.7600370783681637,0.5026178609655927,0.5214283345245526,False,0.0034520391134670483,-0.032123071842507456,0.23860874384361108,False,False,False,False,False,False,False,False,A4_coordinated
5,5.0,0.49684210526315775,0.3,0.49512272337606433,0.29544528333971465,0.8032722327551842,0.7719222691404088,0.5032722327551842,0.5229103940355115,False,-0.0045497792618988935,-0.04643340823481734,0.2490118751048973,False,False,False,False,False,False,False,False,A4_coordinated
6,6.0,0.49631578947368404,0.3,0.49766586572713534,0.3043733835817768,0.803926542246181,0.5998119731426116,0.5039265422461809,0.4524397817259885,False,0.003077130743319735,-0.15700119216515368,0.1473721914166231,False,False,False,False,False,False,False,False,A4_coordinated
7,7.0,0.49578947368421034,0.3,0.49657004543285055,0.3072382797891099,0.8045807769814735,0.7804384111196778,0.5045807769814734,0.5122705879988129,False,-0.0005568057683389815,-0.039070456668244935,0.26816782312086496,False,False,False,False,False,False,False,False,A4_coordinated
8,8.0,0.4952631578947366,0.3,0.4950273037584156,0.32056700735290933,0.8052349245053751,0.8039179891478438,0.5052349245053751,0.49173678863984427,False,-0.0009803434159210904,-0.008385806844909749,0.3121812005079996,False,False,False,False,False,False,False,False,A4_coordinated
9,9.0,0.4947368421052629,0.3,0.49508141440097003,0.34434053168592554,0.8058889723638604,0.8199344098138813,0.5058889723638604,0.632821291651646,False,0.0006582168384946705,-0.15722741352369024,0.1871131181622353,False,False,False,False,False,False,False,False,A4_coordinated
10,10.0,0.4942105263157892,0.3,0.49424694931325514,0.29158378062593,0.8065429081048004,0.7369183661950862,0.5065429081048005,0.5915369275253166,False,-0.0003229145953887045,-0.1462023419561604,0.1453814386697696,False,False,False,False,False,False,False,False,A4_coordinated
11,11.0,0.4936842105263155,0.3,0.49360262424423273,0.295415074179526,0.8071967192782016,0.8439965188018738,0.5071967192782016,0.45871657340644445,False,-0.0001260530090583194,0.08986487121590331,0.3852799453954293,False,False,False,False,False,False,False,False,A4_coordinated
12,12.0,0.4931578947368418,0.3,0.49393749812363397,0.3065874566681385,0.8078503934364416,0.8888745141539287,0.5078503934364416,0.5210460031559923,False,0.0008727466103979661,0.06124105432979793,0.36782851099793645,False,False,False,False,False,False,False,False,A4_coordinated
13,13.0,0.4926315789473681,0.3,0.49312526756440694,0.3206359041964827,0.8085039181345066,0.8654060425160767,0.5085039181345066,0.5516096800918615,False,-0.00024971142905775505,-0.006839541772267532,0.31379636242421516,False,False,False,False,False,False,False,False,A4_coordinated
14,14.0,0.4921052631578944,0.3,0.49157620026045407,0.29830515094366383,0.8091572809302285,0.8005669970058829,0.5091572809302285,0.5187835517217081,False,-0.0010257249338762747,-0.016521705659489072,0.28178344528417476,False,False,False,False,False,False,False,False,A4_coordinated
