inject_kw,seed,detector,detected,delay
0.5,52,threshold,True,0.0
0.5,52,ewma,True,3.0
0.5,52,cusum,True,2.0
0.5,53,threshold,True,0.0
0.5,53,ewma,True,4.0
0.5,53,cusum,True,2.0
0.5,54,threshold,True,0.0
0.5,54,ewma,True,3.0
0.5,54,cusum,True,1.0
0.5,55,threshold,True,3.0
0.5,55,ewma,True,5.0
0.5,55,cusum,True,2.0
0.5,56,threshold,True,1.0
0.5,56,ewma,True,4.0
0.5,56,cusum,True,2.0
0.5,57,threshold,True,0.0
0.5,57,ewma,True,4.0
0.5,57,cusum,True,2.0
0.5,58,threshold,True,0.0
0.5,58,ewma,True,4.0
0.5,58,cusum,True,2.0
0.5,59,threshold,True,0.0
0.5,59,ewma,True,4.0
0.5,59,cusum,True,2.0
0.5,60,threshold,True,0.0
0.5,60,ewma,True,3.0
0.5,60,cusum,True,2.0
0.5,61,threshold,True,0.0
0.5,61,ewma,True,4.0
0.5,61,cusum,True,2.0
1.0,52,threshold,True,0.0
1.0,52,ewma,True,1.0
1.0,52,cusum,True,1.0
1.0,53,threshold,True,0.0
1.0,53,ewma,True,1.0
1.0,53,cusum,True,1.0
1.0,54,threshold,True,0.0
1.0,54,ewma,True,1.0
1.0,54,cusum,True,0.0
1.0,55,threshold,True,0.0
1.0,55,ewma,True,1.0
1.0,55,cusum,True,1.0
1.0,56,threshold,True,0.0
1.0,56,ewma,True,1.0
1.0,56,cusum,True,1.0
1.0,57,threshold,True,0.0
1.0,57,ewma,True,1.0
1.0,57,cusum,True,0.0
1.0,58,threshold,True,0.0
1.0,58,ewma,True,1.0
1.0,58,cusum,True,0.0
1.0,59,threshold,True,0.0
1.0,59,ewma,True,1.0
1.0,59,cusum,True,1.0
1.0,60,threshold,True,0.0
1.0,60,ewma,True,1.0
1.0,60,cusum,True,1.0
1.0,61,threshold,True,0.0
1.0,61,ewma,True,1.0
1.0,61,cusum,True,1.0
