seed,days,fpr_s1_th,apd_s1_th,fpr_s1_cu,apd_s1_cu,fpr_s1_ew,apd_s1_ew,fpr_s2_th,apd_s2_th,fpr_s2_cu,apd_s2_cu,fpr_s2_ew,apd_s2_ew,fpr_fuse,apd_fuse
52,14.0,0.0,0.0,9.92063492063492e-05,0.14285714285714285,0.0,0.0,0.00014880952380952382,0.21428571428571427,0.0010912698412698413,0.2857142857142857,4.96031746031746e-05,0.07142857142857142,0.0011904761904761906,0.42857142857142855
53,14.0,4.96031746031746e-05,0.07142857142857142,4.96031746031746e-05,0.07142857142857142,0.0,0.0,4.96031746031746e-05,0.07142857142857142,0.0,0.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142
54,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
55,14.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142
56,14.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142
57,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
59,14.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142,0.0,0.0,4.96031746031746e-05,0.07142857142857142,0.0,0.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142
60,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92063492063492e-05,0.14285714285714285,0.00014880952380952382,0.14285714285714285,0.0,0.0,0.00014880952380952382,0.14285714285714285
61,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96031746031746e-05,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
