meter_noise_std,load_est_noise_std,inject_kw,detection_rate,mean_delay,n_seeds
0.02,0.05,0.05,0.875,229.71428571428572,8
0.02,0.05,0.1,1.0,21.75,8
0.02,0.05,0.15,1.0,10.875,8
0.02,0.05,0.2,1.0,6.5,8
0.02,0.05,0.5,1.0,1.875,8
0.02,0.05,1.0,1.0,0.625,8
0.02,0.05,2.0,1.0,0.0,8
0.02,0.05,3.0,1.0,0.0,8
0.02,0.08,0.05,1.0,160.75,8
0.02,0.08,0.1,1.0,22.875,8
0.02,0.08,0.15,1.0,10.875,8
0.02,0.08,0.2,1.0,6.5,8
0.02,0.08,0.5,1.0,1.875,8
0.02,0.08,1.0,1.0,0.625,8
0.02,0.08,2.0,1.0,0.0,8
0.02,0.08,3.0,1.0,0.0,8
0.02,0.2,0.05,1.0,30.0,8
0.02,0.2,0.1,1.0,14.125,8
0.02,0.2,0.15,1.0,6.375,8
0.02,0.2,0.2,1.0,4.625,8
0.02,0.2,0.5,1.0,1.25,8
0.02,0.2,1.0,1.0,0.25,8
0.02,0.2,2.0,1.0,0.0,8
0.02,0.2,3.0,1.0,0.0,8
0.05,0.05,0.05,1.0,221.875,8
0.05,0.05,0.1,1.0,23.0,8
0.05,0.05,0.15,1.0,11.375,8
0.05,0.05,0.2,1.0,6.625,8
0.05,0.05,0.5,1.0,1.875,8
0.05,0.05,1.0,1.0,0.625,8
0.05,0.05,2.0,1.0,0.0,8
0.05,0.05,3.0,1.0,0.0,8
0.05,0.08,0.05,1.0,126.75,8
0.05,0.08,0.1,1.0,23.75,8
0.05,0.08,0.15,1.0,11.625,8
0.05,0.08,0.2,1.0,6.625,8
0.05,0.08,0.5,1.0,1.875,8
0.05,0.08,1.0,1.0,0.625,8
0.05,0.08,2.0,1.0,0.0,8
0.05,0.08,3.0,1.0,0.0,8
0.05,0.2,0.05,1.0,25.25,8
0.05,0.2,0.1,1.0,13.625,8
0.05,0.2,0.15,1.0,9.125,8
0.05,0.2,0.2,1.0,4.5,8
0.05,0.2,0.5,1.0,1.0,8
0.05,0.2,1.0,1.0,0.375,8
0.05,0.2,2.0,1.0,0.0,8
0.05,0.2,3.0,1.0,0.0,8
0.15,0.05,0.05,1.0,36.625,8
0.15,0.05,0.1,1.0,18.625,8
0.15,0.05,0.15,1.0,10.375,8
0.15,0.05,0.2,1.0,5.875,8
0.15,0.05,0.5,1.0,1.25,8
0.15,0.05,1.0,1.0,0.25,8
0.15,0.05,2.0,1.0,0.0,8
0.15,0.05,3.0,1.0,0.0,8
0.15,0.08,0.05,1.0,35.625,8
0.15,0.08,0.1,1.0,19.125,8
0.15,0.08,0.15,1.0,10.25,8
0.15,0.08,0.2,1.0,5.375,8
0.15,0.08,0.5,1.0,1.25,8
0.15,0.08,1.0,1.0,0.375,8
0.15,0.08,2.0,1.0,0.0,8
0.15,0.08,3.0,1.0,0.0,8
0.15,0.2,0.05,1.0,17.125,8
0.15,0.2,0.1,1.0,11.5,8
0.15,0.2,0.15,1.0,7.0,8
0.15,0.2,0.2,1.0,3.875,8
0.15,0.2,0.5,1.0,0.625,8
0.15,0.2,1.0,1.0,0.25,8
0.15,0.2,2.0,1.0,0.0,8
0.15,0.2,3.0,1.0,0.0,8
